"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",2864.32531895708,0.118370086044569,0.127584840730461,0.927775473691588,0.353524048934633,0.471832470995082
"aaas",1365.05741722784,0.142217098955996,0.0604235286958171,2.35367086341385,0.0185890624903003,0.0427759106630548
"aacs",645.649376914323,-0.210445612294778,0.127019413999823,-1.65679879687581,0.0975601603510723,0.170002666014292
"aadac",13936.2379506237,0.378625588731455,0.176627919315979,2.14363386149679,0.0320622353845647,0.0675127761381648
"aadat",773.459224854698,-0.493715290541323,0.229001835800787,-2.15594468408897,0.0310879847474309,0.0659170397628272
"aagab",1125.73456831203,0.0456909952267855,0.0565921726601411,0.807373053181372,0.419451587065844,0.53685774193269
"aak1",949.912109245171,0.00524976274920265,0.091459310055461,0.0573999819812678,0.95422657735706,0.969908381548289
"aamp",4394.17949615529,0.0417957190212248,0.0536297433199235,0.779338412490549,0.435780392700737,0.55244522139993
"aars",7136.76514652069,0.0054927113441326,0.0740600065332924,0.0741656880851536,0.9408785475744,0.960267937044147
"aars2",922.222738545073,0.415152564421491,0.0803820968560603,5.16473917276508,2.40774428414761e-07,2.10381590729619e-06
"aarsd1",1310.6305365755,-0.118820305359319,0.103250036486635,-1.15080158228031,0.249813873704377,0.360353977495082
"aasdhppt",1277.02307488604,0.0815946571373656,0.0674160329861623,1.21031531407542,0.226157923553559,0.332358223688566
"aass",2569.75684512366,0.815315572971297,0.193807105409751,4.20684046256993,2.58965821980148e-05,0.000144343825480177
"aatf",2205.86305258322,-0.00932825086484008,0.0820353068889359,-0.113710196482463,0.909467529328845,0.939089367976316
"abat",17825.0315362274,0.0312686286214604,0.1825570441349,0.171281413815808,0.864002494126312,0.906745418398867
"abca1",3467.15024970754,-0.421690322361475,0.123061934639278,-3.4266511703846,0.000611073518363161,0.00230178222818067
"abca2",2970.89882716947,0.1642245433678,0.124743349268449,1.3164993911971,0.188006482622445,0.287602232021094
"abca3",393.906364384417,-0.820958650442474,0.20263021331257,-4.05151155408445,5.08878126990472e-05,0.000261428473914142
"abca5",1598.96980543167,0.472679033969553,0.113480862669928,4.16527529707274,3.10977081404145e-05,0.000168917996828952
"abca6",3842.08521184812,0.771666969070443,0.183483177299448,4.20565514739843,2.60326929069363e-05,0.000145007710718715
"abca8",1370.88495556332,0.201489253276616,0.230578560693489,0.87384209820122,0.382204250775751,0.500227448549905
"abcb1",2911.73479421483,0.473760018930296,0.181831339481971,2.60549155211647,0.00917425359290133,0.0236408123348038
"abcb10",1206.60647950558,0.326305158618307,0.0811753416945763,4.01975713075574,5.82581672756429e-05,0.00029380582526711
"abcb11",1793.6142660431,1.04352579651842,0.250242154956229,4.17006397943203,3.04514138027107e-05,0.000165935883009276
"abcb4",6845.98142524052,0.929426249792902,0.191032673422979,4.86527374160228,1.14298499648697e-06,8.77351579661642e-06
"abcb6",2700.51163066165,0.208215257896752,0.126544757638692,1.64538825457507,0.0998897701549037,0.173353675189463
"abcb7",840.074361519312,0.144605515631704,0.0659022632077391,2.19424202740768,0.0282180146687671,0.0607071718201933
"abcb8",2068.5132177639,0.282880823850879,0.0906188625605151,3.12165498283508,0.00179837561586803,0.00580709854302255
"abcc1",636.709117869239,-0.999021783774665,0.175211114361679,-5.70181741845689,1.18536756342017e-08,1.33185962857012e-07
"abcc10",488.193334654354,-0.183279303166809,0.114631295748091,-1.5988592117948,0.109851888807959,0.186654095986108
"abcc2",5757.58289918377,0.373925949558676,0.163487466288432,2.28718419856712,0.0221850739318077,0.0497617860311562
"abcc3",7531.57395983517,-0.0679831604052975,0.12661894957023,-0.536911423100935,0.591328800091298,0.692107281806543
"abcc4",470.011217603559,0.110966801062234,0.207631247240785,0.534441720776007,0.593035960479366,0.693651168696754
