"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",2864.32531895708,-0.122782977956592,0.123678266682905,-0.992761147529599,0.320826368010245,0.484022931548254
"aaas",1365.05741722784,-0.062131413982354,0.0621744431678367,-0.999307928092471,0.317645546039824,0.481402331508528
"aacs",645.649376914323,-0.242098612987567,0.123024425929946,-1.96789061324638,0.0490806250822812,0.12852855458787
"aadac",13936.2379506237,0.154126321878643,0.162088733379075,0.950876218633834,0.341667215367092,0.503932551478824
"aadat",773.459224854698,-0.541868456399504,0.191831213762563,-2.82471473631083,0.00473227265783061,0.0225835597235476
"aagab",1125.73456831203,0.0724381870125243,0.0576817917307575,1.25582414899048,0.209179734047664,0.359364377912667
"aak1",949.912109245171,-0.13918103385944,0.0911316210507731,-1.52725291457174,0.126698132964472,0.251274808818842
"aamp",4394.17949615529,-0.0404042680579581,0.0548391079320823,-0.736778360946322,0.461257144484753,0.618004859099131
"aars",7136.76514652069,-0.105515657663154,0.0746572969650237,-1.41333348450302,0.157557692985716,0.294075719451972
"aars2",922.222738545073,0.0561019881203601,0.0850649188298032,0.659519680875828,0.509562112235125,0.659764263707347
"aarsd1",1310.6305365755,-0.100267975417844,0.102424553604156,-0.97894471481275,0.327607296807038,0.490749170414617
"aasdhppt",1277.02307488604,-0.122907211473915,0.0682633273445225,-1.80048667791428,0.0717838252818952,0.166940949551132
"aass",2569.75684512366,0.100439559888608,0.175721252660427,0.571584588477198,0.567603438801048,0.708168237548927
"aatf",2205.86305258322,-0.138341911979574,0.0821796628153778,-1.68340812361775,0.0922961117268228,0.199417593312983
"abat",17825.0315362274,0.071773569807919,0.165381312124589,0.433988392557006,0.664296870065741,0.784846143146294
"abca1",3467.15024970754,-0.381955781154863,0.120139526569793,-3.17926823969105,0.00147647387867592,0.009431542887711
"abca2",2970.89882716947,0.129581312019936,0.121397199192008,1.06741599379886,0.285784029371735,0.447104421662475
"abca3",393.906364384417,-0.582265075180396,0.178841032730574,-3.25576891550154,0.00113085749845096,0.00778994567592064
"abca5",1598.96980543167,0.20881644328504,0.114120422789567,1.82979030554495,0.0672813009974128,0.159959558100345
"abca6",3842.08521184812,0.202689955152684,0.168994033160247,1.19939119365525,0.230375870223458,0.384019824328704
"abca8",1370.88495556332,0.1910188998403,0.192969060801047,0.98989391899068,0.322225972094511,0.485159443859815
"abcb1",2911.73479421483,0.245391301483332,0.165776914097844,1.48025014712542,0.138806502107705,0.268118199314725
"abcb10",1206.60647950558,-0.0412678061924569,0.0842794354920618,-0.489654515974349,0.624378392568329,0.754634202355827
"abcb11",1793.6142660431,0.0183318924631709,0.203615644730325,0.0900318464597859,0.928261907768921,0.958912206012673
"abcb4",6845.98142524052,0.486265665421383,0.173693179680484,2.79956683570357,0.00511712220287699,0.0240301862038188
"abcb6",2700.51163066165,0.0515766852685914,0.123304721918843,0.418286375947047,0.675737749485037,0.793540557368272
"abcb7",840.074361519312,-0.0597410698648191,0.0675653053629635,-0.884197437484929,0.376589641415394,0.537964861155779
"abcb8",2068.5132177639,0.399431876910861,0.0890063061147236,4.48768064136959,7.20027537947946e-06,0.000161640042101671
"abcc1",636.709117869239,-0.517822777167042,0.16380437765257,-3.16122673024861,0.00157106156405146,0.00988783248577924
"abcc10",488.193334654354,-0.232378288600167,0.112240922669251,-2.07035262250056,0.0384193350749603,0.107528746150069
"abcc2",5757.58289918377,-0.0733585722133372,0.153034265202056,-0.479360436804658,0.631682233853694,0.76033678056518
"abcc3",7531.57395983517,0.145102169170044,0.122659719976515,1.18296511028906,0.236822975156044,0.390945863749659
"abcc4",470.011217603559,0.145626526969251,0.180880572136274,0.805097668861513,0.420763320917686,0.579781806557768
"abcc5",605.273065531816,-0.0927266944261224,0.110163455534972,-0.841719188780222,0.399945154804967,0.559962613721352
"abcc6",6911.92429272598,0.274259765840565,0.128284054738757,2.13791001850604,0.0325240469769084,0.0949880385681762
"abcc9",1617.63157000823,-0.0718006315212821,0.17773811120703,-0.403968687602675,0.686235745108586,0.80219064307693
