"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",2864.32531895708,-0.637047723341083,0.126610252467208,-5.03156506623411,4.86491941685258e-07,1.47277361685903e-06
"aaas",1365.05741722784,0.188585823161314,0.061310110657619,3.0759334983826,0.00209844642119729,0.00369406307418487
"aacs",645.649376914323,0.931536594986834,0.118027349376711,7.89254863305983,2.9607689217366e-15,2.78077504015085e-14
"aadac",13936.2379506237,-1.35569450710464,0.172329895869918,-7.8668561845356,3.63664297027099e-15,3.35278824329416e-14
"aadat",773.459224854698,-3.18868748244053,0.204011471433599,-15.6299420813617,4.55216638242959e-55,2.58805832729064e-52
"aagab",1125.73456831203,0.244945023484542,0.0556445390815361,4.40195978846412,1.07277442462043e-05,2.68052162120216e-05
"aak1",949.912109245171,0.44031331647284,0.0895345740871197,4.91780210005135,8.75213256853281e-07,2.55697795630174e-06
"aamp",4394.17949615529,-0.0435271025833371,0.0548294784076916,-0.793863152585289,0.42727510281579,0.483006637965676
"aars",7136.76514652069,-0.107614984247694,0.0755716163673218,-1.4240132661001,0.154442631874314,0.195037281893107
"aars2",922.222738545073,0.212791992774478,0.0858006095363814,2.48007553704207,0.0131354552469961,0.0202200654054843
"aarsd1",1310.6305365755,0.448967065040708,0.10261669368759,4.3751854489442,1.21329284250306e-05,3.00260051098842e-05
"aasdhppt",1277.02307488604,-0.161979047748263,0.0684610833427453,-2.366001819418,0.0179813560471122,0.0270259084190647
"aass",2569.75684512366,-1.72011791864503,0.19166825689252,-8.97445381166903,2.84761083978591e-19,4.37557211562058e-18
"aatf",2205.86305258322,0.360725718123212,0.0808444090294556,4.46197482860913,8.12077669989069e-06,2.06851803156117e-05
"abat",17825.0315362274,-2.11204622218706,0.160008509696004,-13.1995868607218,8.82175416981564e-40,1.23331015672439e-37
"abca1",3467.15024970754,-0.362254511749496,0.127899355422117,-2.83234040198184,0.00462086273433981,0.00769061619798008
"abca2",2970.89882716947,0.228432221867768,0.12853829283221,1.77715307115488,0.0755430582952124,0.101581709419989
"abca3",393.906364384417,1.66618212304777,0.196589412880317,8.47544177804803,2.34189116497191e-17,2.886076279607e-16
"abca5",1598.96980543167,-0.578773620867752,0.115901756819898,-4.99365701390634,5.92465763090295e-07,1.77130727569294e-06
"abca6",3842.08521184812,-2.12498251916695,0.167835731567486,-12.6610853321929,9.71469111624467e-37,1.11955251134236e-34
