"","T82_S17","T79_S16","T93_S20","T30_S14","T34_S10","T42_S12","T61_S14","T86_S18","T62_S15","T20_S13","T32_S15","T38_S11","T7_S11","T71_S17","T89_S18","T19_S12","T58_S13","T67_S16","T92_S19"
"A1CF",2785,2627,3309,2319,1665,1337,1924,2781,1620,3496,2504,1854,3444,4653,2534,3167,1266,4900,2900
"AAAS",498,369,654,746,215,218,261,322,182,288,489,240,388,1105,357,716,232,592,357
"AACS",582,1188,1687,694,1413,1292,2153,1059,1177,2069,2365,1111,4916,3665,1228,3176,1673,4144,794
"AADAC",7115,4976,8246,4889,4582,2667,4912,5548,5201,6945,7815,3010,8406,9166,4682,6167,3177,9914,7615
"AADAT",972,317,536,306,234,156,300,475,715,436,785,339,733,479,674,549,194,637,945
"AAED1",640,571,639,500,297,267,353,560,641,563,657,474,591,648,835,703,471,629,886
"AAGAB",367,351,616,354,315,261,377,304,340,413,455,339,632,553,548,580,271,649,756
"AAK1",109,128,214,224,96,89,119,135,89,182,285,164,257,213,89,233,74,223,166
"AAMDC",133,94,172,226,140,108,131,112,138,183,243,145,274,178,182,292,92,368,340
"AAMP",1977,1943,3212,3384,1896,1383,1989,1765,2135,2459,3053,1833,3472,3017,4003,3321,2196,3823,4110
"AAR2",475,327,574,439,288,250,329,342,371,388,533,292,525,468,521,518,338,571,540
"AARS",3828,2913,3228,3268,1759,1751,2036,2702,2853,3253,3908,1970,4574,3718,3237,3792,2534,5886,4519
"AARS2",235,243,366,296,188,178,231,213,200,262,377,204,440,368,287,288,221,412,384
"AARSD1",318,270,375,317,196,192,233,274,249,367,487,233,494,337,324,420,205,555,417
"AASDHPPT",532,378,444,459,279,293,339,426,284,461,508,301,612,504,444,538,216,593,669
"AASS",2151,2053,2869,2171,2476,2010,2237,2406,2362,3219,3722,2214,3605,2847,3202,2609,1045,1878,4346
"AATF",144,186,292,333,139,129,156,195,251,274,322,201,418,305,323,297,156,497,352
"ABAT",2584,1948,2652,1738,1752,701,1652,2094,2693,1620,2391,751,2412,1340,3551,1818,1301,2523,4076
"ABCA1",4378,6346,9025,4203,6201,5756,9509,6916,6656,9176,7891,5714,9489,9404,3665,9233,4933,12399,8578
"ABCA2",1065,640,1564,947,630,562,871,857,753,851,1096,645,1015,1184,1340,796,731,869,1164
"ABCA3",781,1511,4574,2039,1857,1765,2484,2470,2284,1544,2575,1345,2916,2593,1288,2589,2182,2346,3206
"ABCA5",343,331,506,425,318,390,411,294,393,472,633,419,893,492,370,752,454,741,1199
"ABCA6",5371,4185,11298,5462,5114,4176,6051,5038,5608,6792,7589,5464,7149,9085,7011,5408,4683,4233,8142
