"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",2580.08229019647,0.305779714060486,0.158434283005078,1.93000976973326,0.0536056272481954,0.0865648152192028
"AAAS",1568.68791575316,-0.208760074718915,0.0738829301706785,-2.82555218420078,0.00471991991218254,0.0101747919643814
"AACS",835.047557479802,-0.685463910553247,0.129328148880534,-5.30019115317608,1.15681499500454e-07,6.97195637978707e-07
"AADAC",11811.350901306,0.922520572231005,0.206836516790428,4.46014362718033,8.19047454486549e-06,3.36132660821044e-05
"AADAT",324.376690350639,1.82877947886437,0.198438051272217,9.21587098411714,3.08761297510644e-20,2.21270281106788e-18
"AAGAB",1334.736027263,-0.120557027491996,0.0634682854165006,-1.89948454887129,0.0575007962549636,0.0920185382740344
"AAK1",1116.31874382413,-0.356708089369169,0.0976947867641732,-3.65124999177522,0.000260967061918089,0.00076954602490922
"AAMP",4675.28116842477,0.00568040158965681,0.0646696246160808,0.0878372438896811,0.930006035809019,0.946092266894825
"AARS",7824.72668117991,-0.151659424342111,0.0912191289189277,-1.66258356267467,0.0963958236573221,0.144984759109284
"AARS2",1063.98878841195,-0.0711771699180529,0.0867973598666861,-0.820038420838784,0.412194204844697,0.492323834582013
"AARSD1",1567.7181360614,-0.343957659760573,0.125771810760346,-2.73477544515895,0.00624228442942418,0.0130571993166861
"AASDHPPT",1265.93479212523,0.0736266723750107,0.0841240401729535,0.875215600958289,0.381456606133894,0.4613617837342
"AASS",1795.78385344268,1.55211759948261,0.209583683558101,7.40571772159132,1.30443036298938e-13,2.48155578613012e-12
"AATF",2634.49064993466,-0.389233123066687,0.0918136837474882,-4.23938030998931,2.2413765928484e-05,8.25678599732662e-05
"ABAT",11951.6175035292,1.73028634216803,0.169203387679828,10.2260738741362,1.51538948504379e-24,3.40085303380353e-22
"ABCA1",3006.89828772999,0.023508647856614,0.134076066793057,0.175338137662548,0.86081394639458,0.892308415564966
"ABCA2",3499.1130516581,-0.0218309766247585,0.15448916229544,-0.141310732095302,0.88762447170571,0.913327883048539
"ABCA3",560.667906297404,-1.24831812875223,0.218731249339664,-5.70708635606856,1.14926481633966e-08,8.39839790380856e-08
"ABCA5",1613.68548124169,0.487929161860895,0.14366519938406,3.3962933539424,0.000683051114557398,0.00181692448688256
"ABCA6",2854.1565401715,1.55434828488032,0.203592809600868,7.63459322521032,2.26534520706213e-14,4.99195450279738e-13
"ABCA8",928.19628857576,1.96450345638699,0.24045022805596,8.17010435910169,3.08122803631198e-16,1.00677060128998e-14
"ABCB1",2952.56704031126,0.533324612227338,0.217859737183509,2.4480182484481,0.0143644380185344,0.0273254355168551
"ABCB10",1266.16692647279,0.0368546157319996,0.102402204747602,0.359900607832006,0.718921462465083,0.772842837753968
"ABCB11",1074.15423860674,1.91606705304043,0.266818390775312,7.18116561408224,6.91195612882241e-13,1.13138506461799e-11
"ABCB4",5595.28482953515,1.88109930942579,0.209560619261198,8.97639697791296,2.7977853772398e-19,1.62309616987082e-17
"ABCB6",3017.55008133703,0.00655811868349723,0.154260196113076,0.0425133563209656,0.966089464572627,0.974085002822814
"ABCB7",844.863929518086,0.122923451487038,0.0792317790453332,1.55144126470651,0.12079597275813,0.175973361066166
"ABCB8",2387.2279983266,0.374331822049106,0.108855187575709,3.43880553959597,0.000584286777170088,0.00158192377375755
"ABCC1",890.733240455007,-1.15678287806061,0.18611127760309,-6.2155442322395,5.11470626588415e-10,4.8196922691116e-09
"ABCC10",643.960529047777,-0.720256094862299,0.100573572992118,-7.16148460708206,7.98079771873795e-13,1.27692763499807e-11
"ABCC2",5112.64664504821,0.396397773575606,0.194535325265354,2.0376647430738,0.0415834724257435,0.0691544174818136
"ABCC3",8583.98517893615,0.0798591103872385,0.158097604678518,0.505125365748756,0.613470786408272,0.67820571253432
"ABCC4",634.644633798396,-0.266328009937651,0.211383109620401,-1.25993041930323,0.207694464045353,0.278800313140056
"ABCC5",791.035500898682,-0.538395073250987,0.100176791868425,-5.37444914345163,7.68171601477115e-08,4.80981455021794e-07
"ABCC6",6026.09292998099,1.08108605553086,0.146601831276821,7.37430116742201,1.65209340483725e-13,3.06283751227218e-12
"ABCC9",1008.35579269691,1.58268407528136,0.205234100473325,7.71160383012019,1.2424631355679e-14,2.88711869758122e-13
"ABCD1",1696.15868516182,-0.319454265686877,0.131655748614146,-2.42643613400525,0.0152479338238538,0.0287623047223679
"ABCD3",4466.84037434758,0.329531387051504,0.104653491873693,3.14878539790358,0.00163950544991311,0.00396194459531283
