"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",2556.72333843788,0.146110448919618,0.118792384319829,1.22996478062297,0.218710293766621,0.56723285308392
"AAAS",405.356938560007,0.381861040808306,0.150392793129853,2.53909135445472,0.0111140798061795,0.170679872371297
"AACS",1794.10777646131,-0.0937973484973698,0.167466230065645,-0.560097092175551,0.575413213743365,0.82438096740359
"AADAC",5768.51932149488,0.106274175098043,0.117877333426269,0.901565822784037,0.367287553213649,0.697909875360147
"AADAT",486.378984854598,-0.0892027897948218,0.159994486219818,-0.557536649558442,0.577160826037202,0.825608334716702
"AAED1",561.438441549722,-0.0999577119573658,0.124840041568426,-0.800686307866841,0.423313271154847,0.734425012633103
"AAGAB",424.747287372491,0.0136932584356186,0.0792917783792158,0.172694555671712,0.862891523440118,0.959195821180233
"AAK1",153.957584334856,0.161185858623696,0.137491041002871,1.17233717519333,0.241061711878429,0.589680286782983
"AAMDC",174.415778434972,-0.0819371755388931,0.124467014839154,-0.658304335849771,0.510342592444018,0.790126033339578
"AAMP",2566.89567885627,-0.063759441067448,0.0938280030092991,-0.679535309529384,0.496798742803656,0.781057957208751
"AAR2",413.191530784838,0.0747284616275135,0.0821565129778981,0.909586579552336,0.363040578851806,0.693219054684422
"AARS",3110.12337122122,-0.10641216270714,0.098647474653446,-1.0787114731621,0.280716369466916,0.622252691957558
"AARS2",273.225954049917,0.058509399556866,0.0820077795014498,0.713461575384218,0.47556018206212,0.769296154954932
"AARSD1",313.930787383818,-0.064965461593559,0.0780851600020165,-0.831982179352407,0.405419003447717,0.721052229859291
"AASDHPPT",420.348862337916,0.152934629076843,0.0981818552287881,1.5576669306204,0.119312223562795,0.458006646897802
"AASS",2562.95072221033,0.15121947476609,0.136084386321456,1.11121840538622,0.266474350719332,0.610113779950604
"AATF",245.532634163326,-0.155689830006812,0.108590157743398,-1.43373794865195,0.151647058445906,0.498959346910175
"ABAT",2023.68824550984,-0.114346464121921,0.157075451901882,-0.727971575045017,0.466630986714374,0.764296052204482
"ABCA1",7262.53875239798,0.148053843941467,0.145968897255342,1.01428349960388,0.310447495164105,0.647213958302309
"ABCA2",908.376007238308,0.266970181308819,0.114447772619812,2.332681320026,0.0196648773201242,0.21861729097267
"ABCA3",2212.89200649423,0.203692036923184,0.15671740636573,1.29974099014777,0.193689756424699,0.542486143542221
"ABCA5",492.753526267502,-0.161111438440061,0.133305753445339,-1.20858578325446,0.226822020962646,0.57624704069905
"ABCA6",6133.89424724924,0.301964621393372,0.124385443902644,2.42765239982355,0.0151969005600673,0.194398377931278
"ABCA8",4597.85809871317,0.0679367722788565,0.137720139327429,0.493295843372168,0.621803564951074,0.852899737631045
"ABCB1",714.107479266572,-0.034965157018163,0.161490562071469,-0.216515173206772,0.828586199141271,0.94588031854842
"ABCB10",318.068044694064,-0.118425477344615,0.119618876730232,-0.990023318908862,0.322162721320586,0.661872269835186
"ABCB11",5125.59747571254,0.128115084797423,0.167355616208774,0.76552605583072,0.443958357065747,0.748082016770638
"ABCB4",3731.21796224739,-0.183701253312843,0.128556916491357,-1.42894881369681,0.153018945924669,0.500464099054319
"ABCB6",884.462696071924,0.102729221207413,0.136436616973117,0.752944652883435,0.451483173823408,0.752629250569747
"ABCB7",1151.44206216323,0.319463532234419,0.104148906904117,3.06737287726436,0.00215949291562353,0.0801927137068015
"ABCB8",735.157040115998,-0.202600372993124,0.10080856367448,-2.00975359243625,0.0444572747139118,0.30210584694904
"ABCC1",98.2795943395381,-0.125401768429321,0.151447256294045,-0.828022715616882,0.407657635545052,0.723402133755884
"ABCC10",160.716178453987,-0.0569813434018545,0.143089017076909,-0.398223040215782,0.690465783796394,0.88541146749575
"ABCC2",22268.5449337947,0.131861603317681,0.142142036648655,0.927674925916638,0.353576218777824,0.686784966083393
"ABCC3",6266.03131162274,-0.000424948819897481,0.144380895333129,-0.00294324826644827,0.997651631040132,0.99917247456321
"ABCC4",1139.41786201496,0.0534151309287091,0.140596142966677,0.379918892521605,0.704005622789931,0.892743312546434
"ABCC5",851.078637831482,0.270357334793988,0.165853268389959,1.63009952965363,0.103080463127833,0.433454077828989
"ABCC6",1755.99867826764,-0.102472466912331,0.114322193743185,-0.896347975464209,0.370066943556296,0.699434380369034
"ABCC9",741.335120692397,-0.000890065452155008,0.16211139882847,-0.00549045569026755,0.995619272182557,0.998977480998839
"ABCD1",327.750369532081,-0.0993431617070727,0.13242071595282,-0.75020861345039,0.453129071945637,0.753744137677263
