"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",3188.52819719193,-0.0329762630509727,0.211135617609717,-0.156185220780367,0.875887025879539,0.943099010842136
"AAAS",538.182984660889,0.135462255889557,0.226191236911665,0.598883748721262,0.54925040930147,0.75759794573029
"AACS",1995.28513817844,0.30696211753525,0.338522184646346,0.90677105211268,0.364527880970756,0.61677063270033
"AADAC",5806.00304066733,0.279433955581477,0.226188368274243,1.23540373766115,0.216680282449662,0.457596236481797
"AADAT",954.710594061001,0.040110847109636,0.259893348362133,0.15433579721227,0.877344973345227,0.943894126295561
"AAED1",770.282044037418,0.258116840785331,0.215502178755306,1.19774585239072,0.231015972865531,0.475561353401195
"AAGAB",876.425504716239,0.448423139876348,0.150473239600483,2.980085635605,0.00288167811372439,0.0253479361675084
"AAK1",253.535177180912,-0.509790037337916,0.267969701989551,-1.90241670439964,0.0571166989004183,0.203256824058191
"AAMDC",255.544074870968,0.0564302115610294,0.201298405273974,0.280331140647766,0.779223461398466,0.894954700015054
"AAMP",3574.34488380383,0.13926241579319,0.123117475906047,1.13113442887234,0.257998515291011,0.507478929535884
"AAR2",605.744300872229,0.0972641119219994,0.115139982188052,0.844746629916469,0.398252318480726,0.645620762108364
"AARS",8297.53750322748,0.821589634724713,0.233574556396493,3.51746203610493,0.000435694669361925,0.00586177412199031
"AARS2",443.686489591026,0.19620216646845,0.210968122252473,0.930008592642488,0.352366635572322,0.603427015240642
"AARSD1",513.42059826727,0.160877710271544,0.163187269065589,0.98584718766807,0.324208105991743,0.577982398961784
"AASDHPPT",887.997474350978,0.775699914590348,0.205494995459364,3.77478737550929,0.000160144198425483,0.0026126409191114
"AASS",2488.89594497782,-0.327235426681812,0.289472532608069,-1.13045415305387,0.25828490660885,0.507478929535884
"AATF",468.88714988064,-0.117900803269826,0.206481935898989,-0.570998149336917,0.568000897337834,0.770004875003865
"ABAT",4587.92103784493,-0.188234960932739,0.390723247362102,-0.481760330882725,0.629976212571708,0.810060505841556
"ABCA1",4648.06974543456,-0.000971649452915988,0.192029691785214,-0.0050598917484218,0.995962807721647,0.997757941767332
"ABCA2",1240.10589772382,0.0543981628817307,0.253353488427105,0.214712507885528,0.829991470128771,0.920881804271254
"ABCA3",2128.23024767974,-0.0360971948304665,0.251018180564811,-0.143803109198086,0.885655947612299,0.948132700387164
"ABCA5",929.344854622833,0.00585854396456753,0.318940638999145,0.0183687597257972,0.985344674363818,0.992257937984749
"ABCA6",3270.85837601125,0.799404817179671,0.28630000029354,2.79219286189329,0.00523521421150178,0.0392884050488484
"ABCA8",5213.90907731857,-0.00235359505867623,0.280055991715013,-0.00840401608358115,0.993294644248668,0.996750221751681
"ABCB1",963.625882562233,1.11134924010385,0.368528765191752,3.01563770612477,0.00256439464352697,0.0233659442263169
"ABCB10",622.294221954578,0.529233556502807,0.151018451562762,3.50442976355681,0.000457586254200781,0.00609178826138854
"ABCB11",7939.22751594691,0.918598106785752,0.228646433812966,4.01754836700042,5.88067676709741e-05,0.00115957557627045
"ABCB4",10382.8344877483,1.019385704771,0.185221934676185,5.50359063332942,3.72133081473179e-08,2.24346555142012e-06
"ABCB6",2087.48529730845,0.704485633021227,0.200669377840284,3.51067831376813,0.000446964925532613,0.00599526256826776
"ABCB7",1437.30359124347,0.746608886339655,0.159648225172378,4.67658745052451,2.91688240451145e-06,9.67674607672853e-05
"ABCB8",1029.89204744369,-0.136758657801002,0.166414074424631,-0.821797424730082,0.411192199671705,0.656740702528821
"ABCC1",589.763114174162,-1.39891627679259,0.394979629935955,-3.54174284131924,0.000397492786256358,0.00546352913165037
"ABCC10",200.784074907234,-0.00532270000296001,0.234112642893835,-0.0227356367309635,0.981861149175546,0.990755650107576
"ABCC2",22959.3766037017,0.527102067066627,0.245446426295011,2.1475239017458,0.0317515964256039,0.141439582234119
"ABCC3",10666.463613843,-0.569714596269091,0.26833701171838,-2.12313088165045,0.0337428858672275,0.146818675554569
