"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",3170.07747878664,-0.00458503531312122,0.208524122097476,-0.0219880331685459,0.982457501379619,0.991937452295418
"AAAS",539.617684591645,0.141780034701125,0.211295454005089,0.671003715478473,0.502218162594618,0.721082306718761
"AACS",1914.69024655373,0.380751027851098,0.340892456800464,1.11692418020844,0.264026744874862,0.506198290346415
"AADAC",5689.93683800614,0.323449438778931,0.225635933227714,1.43350145587185,0.151714583155829,0.366671060485855
"AADAT",1042.57844106623,-0.0987730836261458,0.3026647547657,-0.326344848783627,0.744163459501917,0.875706510824299
"AAED1",757.30481022444,0.298112832123275,0.207426587644621,1.43719681988899,0.150662076360952,0.36492061741675
"AAGAB",873.583760854187,0.453186142459072,0.140873018129273,3.21698326959392,0.00129546152835177,0.0141760977059239
"AAK1",255.79836002843,-0.49803474299934,0.252625935020606,-1.97143156722495,0.0486745332987642,0.182585954938511
"AAMDC",253.476040368568,0.0867204681626965,0.19969222190861,0.434270635750572,0.664091924683621,0.828145801132383
"AAMP",3563.50517469133,0.156341185507805,0.124517915468419,1.25557181807671,0.209271254394,0.441603970280825
"AAR2",609.055365974685,0.099863548730159,0.107595027046235,0.928142791276459,0.353333505266276,0.599494123586085
"AARS",8130.75040270637,0.844892264841298,0.222731699357108,3.7933184512128,0.000148647322329317,0.00260249859211997
"AARS2",445.128153826783,0.198802618188771,0.207904064070894,0.956222857293354,0.33895965430087,0.585721228939564
"AARSD1",514.45808888553,0.166955712468158,0.165897147411049,1.0063808514711,0.314232401191415,0.561015976833609
"AASDHPPT",883.858959064828,0.766338030020501,0.193270421631718,3.96510766391754,7.33628265897308e-05,0.0014803290097311
"AASS",2493.0394355558,-0.304993420550688,0.281632750634232,-1.08294727748761,0.278831825362439,0.523192036872053
"AATF",469.323946185721,-0.0995059010515355,0.196083680076597,-0.507466511301017,0.611827528089291,0.795156392182736
"ABAT",4665.14999994591,-0.193175272309902,0.387609875350623,-0.498375517742317,0.618219389368218,0.800016443753437
"ABCA1",4712.65916155773,-0.0100133736251631,0.179567864494796,-0.0557637284005974,0.955530030503825,0.981164283052316
"ABCA2",1195.49653704593,0.135886460725711,0.256658403285577,0.529444814532387,0.596496917169945,0.786112329614269
"ABCA3",2019.72967023219,0.0746487932556356,0.277126521609031,0.269367193086449,0.787647129546446,0.902526339421387
"ABCA5",917.974751925685,0.0411007723840522,0.307548363056601,0.133640029735707,0.893687228937529,0.952937802921757
"ABCA6",3190.44974537604,0.830199079037702,0.281445214817001,2.9497715197521,0.00318009007059736,0.0275669796178293
"ABCA8",5161.37946182688,0.031921752456427,0.270596058430122,0.117968283210121,0.906092788696455,0.958683024585563
"ABCB1",941.978538833994,1.12892702609306,0.355630857668689,3.17443495621738,0.00150128534216095,0.0157904572409379
"ABCB10",620.729138199144,0.526979662475252,0.151382364825123,3.48111659560887,0.000499328079719331,0.00666820411565125
"ABCB11",7956.57731122407,0.858992149118501,0.264759544466359,3.24442373116278,0.00117688529671616,0.0131963699158267
"ABCB4",10356.2841274457,0.973530063605103,0.207507652758375,4.69153812239733,2.71158732232145e-06,0.000100069948733307
"ABCB6",2046.26777789002,0.724834014273413,0.212284455800809,3.41444695768747,0.000639116364927892,0.00817885028729306
"ABCB7",1437.39911747085,0.726457916256246,0.152613694094818,4.76010963868618,1.93487822289784e-06,7.48208996280581e-05
"ABCB8",1010.50046541165,-0.07993066675864,0.169394385202677,-0.471861370511217,0.637025742499431,0.811938514443958
"ABCC1",583.632708016329,-1.31560844340839,0.402247455516022,-3.27064453824989,0.00107302692261266,0.0123460562092069
"ABCC10",197.463710732095,0.0419499794255732,0.23056571361014,0.181943701727074,0.855626907819737,0.935282132055629
"ABCC2",22628.0784809804,0.548485562704246,0.243214334952639,2.25515310522734,0.0241237202741135,0.116733606157762
"ABCC3",10727.8182677146,-0.544520845362148,0.268891595364495,-2.02505714105354,0.0428614971244795,0.168082079111605
"ABCC4",5250.9874118486,0.109683777096781,0.421163867781654,0.260430168605169,0.794531974407981,0.905621860872047
"ABCC5",1389.33297788498,-0.123864617798582,0.270092465783984,-0.458600788581963,0.646520870239321,0.816734802426896
"ABCC6",2278.90528413509,0.565530369535764,0.212801664162375,2.65754674316947,0.00787116742640029,0.0531557806305271
"ABCC9",702.950953010465,-0.405554084480197,0.363338775186166,-1.11618718446001,0.264342018994184,0.506348289144406
"ABCD1",617.093388409769,0.156988006552756,0.229029953841574,0.685447488066772,0.493061586420182,0.714939003855383
"ABCD3",9421.98118280634,0.320576224025958,0.314667977842931,1.01877612785237,0.308309261429021,0.553736383511654
"ABCD4",188.837728746951,-0.102709000437851,0.245458675238942,-0.418437035634894,0.675627613155414,0.834008603942297
"ABCE1",2761.56226589162,0.0675296880792046,0.160471494486575,0.420820459703852,0.673886190412241,0.833556110698434
"ABCF1",2167.00269841896,-0.10533224291495,0.0845657667671555,-1.24556598895358,0.212923775137947,0.445911996939024
"ABCF2",1443.50531235984,0.0595847791883584,0.129304019193824,0.460811501141679,0.644933849506347,0.816044862197936
"ABCG1",380.467600290495,-0.304167872177989,0.34941935742001,-0.870495196442058,0.384029843164353,0.626478617957402
"ABCG2",4201.08248946147,0.302216979215384,0.312269357608388,0.967808630119865,0.33313995292843,0.579594359841589
"ABCG5",1515.38311954209,-0.116805204293038,0.334971198370919,-0.348702231299593,0.727312868956891,0.865728139253559
"ABCG8",1799.53612672828,0.339990668365397,0.358766554668234,0.947665449695556,0.343299795226871,0.590178436011082
"ABHD10",215.317170470703,-0.23565964361642,0.187591074356833,-1.25624123868576,0.209028519317183,0.441591365987416
"ABHD11",787.059105209001,0.331808226511437,0.177405419178344,1.87033873062171,0.0614367943767844,0.212531641068503
