"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",3170.07747878664,0.174978961888183,0.196876381580714,0.888775791607318,0.374123588720565,0.741094076215837
"AAAS",539.617684591645,-0.113411045782776,0.203090049502029,-0.558427387559638,0.576552575422655,0.853013473800929
"AACS",1914.69024655373,-0.164571145500069,0.304295796714675,-0.540826220003229,0.588627368525423,0.857885486123925
"AADAC",5689.93683800614,-0.18879378899986,0.220458673550824,-0.856368161701452,0.391794169668515,0.752636136501046
"AADAT",1042.57844106623,0.22201493521939,0.273508171061348,0.811730539376071,0.416946266618339,0.768852206150461
"AAED1",757.30481022444,-0.18479246840942,0.204381124380379,-0.904156237371007,0.365912561766356,0.73563584978158
"AAGAB",873.583760854187,-0.224196576426766,0.164776537744299,-1.36060982647102,0.17363702457798,0.551606891811296
"AAK1",255.79836002843,0.29463136889949,0.245844364125794,1.19844670813252,0.230743158008817,0.620218902203004
"AAMDC",253.476040368568,0.124694360003898,0.191554763372539,0.650959327810553,0.515072742135761,0.824116387417218
"AAMP",3563.50517469133,-0.0917905864146212,0.12624680125862,-0.727072571340524,0.467181500282711,0.799421601529621
"AAR2",609.055365974685,-0.04171149626502,0.108585587031301,-0.384134740211848,0.700878584089393,0.906001217466159
"AARS",8130.75040270637,-0.687717829713029,0.227525701821467,-3.02259403754158,0.00250618202148848,0.0604646508986728
"AARS2",445.128153826783,-0.0217776405376183,0.203625253178137,-0.106949605698301,0.914828959180868,0.978734168821799
"AARSD1",514.45808888553,-0.0219648598526444,0.16581545697723,-0.132465695617633,0.894615954809533,0.97479440602996
"AASDHPPT",883.858959064828,-0.629394503334606,0.203449661589711,-3.09361292821358,0.00197735282778873,0.053370495777398
"AASS",2493.0394355558,0.237532278576042,0.261331955710717,0.908929326802191,0.363387432275101,0.73318869516026
"AATF",469.323946185721,0.132067220458993,0.188034108125442,0.702357789103285,0.482456062408183,0.806859391057881
"ABAT",4665.14999994591,0.0742104292789471,0.327351513816651,0.226699514579035,0.820657404600257,0.951362630920403
"ABCA1",4712.65916155773,-0.0159884054152508,0.174261959211363,-0.0917492577703575,0.92689726036333,0.981732785308489
"ABCA2",1195.49653704593,0.0525633049791512,0.241565117186055,0.217594765301592,0.827744863456373,0.955273744963112
"ABCA3",2019.72967023219,0.0973916993624739,0.25637861004887,0.379874511933384,0.70403856813791,0.906636059072842
"ABCA5",917.974751925685,0.0944867653285197,0.278672872223468,0.339059789259827,0.734564689574448,0.917947430821995
"ABCA6",3190.44974537604,-0.247470983590663,0.287305779159296,-0.861350524569342,0.38904501645936,0.752006910352442
"ABCA8",5161.37946182688,0.252930946952938,0.247528705882335,1.02182470534618,0.306863874177879,0.691085772939275
"ABCB1",941.978538833994,-0.767846135830948,0.319989855146811,-2.39959524803892,0.0164132091166932,0.16908271108612
"ABCB10",620.729138199144,-0.247953961409358,0.180404103812256,-1.37443636907174,0.169306251835924,0.545915534861904
"ABCB11",7956.57731122407,-0.359182444326243,0.277085632930504,-1.29628678516266,0.194876699653093,0.580571710722311
"ABCB4",10356.2841274457,-0.542434119917425,0.247272613911536,-2.19366840240337,0.0282592569856219,0.235184819149318
"ABCB6",2046.26777789002,-0.469818971337205,0.227825579522287,-2.06218710086171,0.0391899263041287,0.27707527514384
"ABCB7",1437.39911747085,-0.62853508198768,0.166765075782599,-3.76898507698975,0.000163912686065913,0.00915436888217176
"ABCB8",1010.50046541165,0.166040609967607,0.161654555186595,1.02713226840994,0.304358186003757,0.688761644167523
"ABCC1",583.632708016329,0.477849012381797,0.341132043906014,1.40077433626684,0.161281565318246,0.533400484181015
"ABCC10",197.463710732095,0.0388950382353356,0.2189884369936,0.177612292088611,0.859027470348128,0.962196607073768
"ABCC2",22628.0784809804,-0.357876712003888,0.240648266514965,-1.4871360479201,0.136978882471393,0.499971847862703
"ABCC3",10727.8182677146,0.448279943342389,0.253302254335152,1.76974320469038,0.0767699290477789,0.385586521461695
"ABCC4",5250.9874118486,-0.168414026161705,0.339849359192428,-0.495554932226153,0.620208456346308,0.875310090965546
"ABCC5",1389.33297788498,0.0532844559319785,0.251833748656552,0.211585842708665,0.832430155156395,0.956534038803726
"ABCC6",2278.90528413509,-0.128461920281713,0.229998105696541,-0.558534688330023,0.57647932427309,0.853013473800929
"ABCC9",702.950953010465,0.172004853699483,0.316772804949309,0.542991225926127,0.587135843543153,0.857885486123925
"ABCD1",617.093388409769,-0.176424387423271,0.216857211085513,-0.813550937689141,0.415902254135658,0.7678195460966
"ABCD3",9421.98118280634,-0.0696240948341352,0.287616847616994,-0.242072380011794,0.808724079369656,0.946299884675524
"ABCD4",188.837728746951,0.329255537272353,0.22345636874503,1.47346678513353,0.140625213629665,0.505297145671357
"ABCE1",2761.56226589162,-0.0016109419116192,0.157413730227565,-0.0102338081264598,0.991834745023581,0.99785963312212
"ABCF1",2167.00269841896,0.101700890327162,0.0839452478412872,1.21151456386721,0.225698256400459,0.617247049570433
"ABCF2",1443.50531235984,-0.0131654900253926,0.127991167770094,-0.102862488519843,0.918072109554153,0.97957492769392
"ABCG1",380.467600290495,-0.215747578325458,0.30689105213968,-0.703010325068916,0.482049314967587,0.806859391057881
"ABCG2",4201.08248946147,-0.190795047309737,0.284156439021437,-0.671443687733374,0.501937921668951,0.814548381655754
"ABCG5",1515.38311954209,0.3708346146202,0.292784114786167,1.26658037746015,0.205305372452853,0.592924514413897
"ABCG8",1799.53612672828,-0.0832279730731698,0.314253874472399,-0.264843108817358,0.791130326231357,0.939064066859303
"ABHD10",215.317170470703,0.297842560638977,0.176566177537789,1.68686078382838,0.0916301243038008,0.422626613642878
"ABHD11",787.059105209001,-0.114898687180704,0.184829222993782,-0.621647839663156,0.534173456657828,0.833502072592078
"ABHD12",1251.88685357177,-0.998034627528031,0.221259107058046,-4.51070530292886,6.46124325325303e-06,0.00100659368576995
"ABHD13",615.079138613896,-0.158211426665104,0.120816776846116,-1.30951537356949,0.190359833618432,0.574487392766469
"ABHD14A",234.412056420686,0.106582099902416,0.24444691681654,0.43601327147197,0.662827100617428,0.893775145428581
"ABHD14B",2739.79829998146,-0.199612631001124,0.183180786766659,-1.08970288055044,0.275844046831223,0.66526212272169
"ABHD15",400.145896730903,-0.474928769842542,0.302902313550618,-1.56792717848679,0.116898128129849,0.468943802177855
"ABHD16A",1128.59459428877,0.1727072498167,0.133439714121336,1.29427173127529,0.195571577312729,0.581069299028361
"ABHD17A",946.252207836095,-0.0241790746290365,0.170383636859984,-0.141909605139525,0.887151407300607,0.973137512988454
"ABHD17B",457.706575205987,-0.212204361242525,0.159956917698553,-1.32663447318005,0.184629626506789,0.565492302600964
"ABHD17C",1608.92563169162,0.145270630489086,0.184368063520548,0.787938147828379,0.430732885947066,0.775371584676657
"ABHD18",314.846668537988,-0.0579332666724152,0.278498630135644,-0.208019934044913,0.835213402682851,0.95699013848095
"ABHD2",9319.91971476418,-0.311497984765588,0.258624595281417,-1.20444068525903,0.22841929477943,0.618695339093848
"ABHD3",983.067718636144,-0.218899218807289,0.238041600600325,-0.919583880528615,0.357790253486577,0.728543327438846
"ABHD4",3206.83330625846,0.00633707246915841,0.254438116070265,0.0249061444371345,0.980129826203609,0.995825570570498
"ABHD5",1329.36498013533,-0.13841745530328,0.190730841515023,-0.725721410359206,0.46800957368891,0.800139586899792
"ABHD6",985.353855617083,-1.11649818408799,0.319115409245906,-3.49872852184219,0.000467482296674157,0.0187839040473598
"ABHD8",161.568151246351,-0.304790679132336,0.24411360664178,-1.24856079644751,0.211825758763665,0.599430445449759
"ABI1",1550.91851968742,-0.126605294994272,0.107277586180617,-1.18016539616313,0.237934438935705,0.628002832595838
"ABI2",227.104892746949,0.508437381449558,0.235060028902013,2.16301080121752,0.030540348868147,0.243753653566478
"ABI3",207.160469013379,0.0306358213189468,0.31684620763617,0.0966898784981687,0.9229726779561,0.980167904808616
"ABL1",1242.9044466338,0.227638691821871,0.130755725122825,1.74094626914454,0.0816929972718666,0.396626145576728
"ABL2",719.684509078324,-0.109692588860663,0.201025999041349,-0.545663692177948,0.585297134014399,0.856790650909988
"ABLIM1",1217.267114741,0.283247518305653,0.240939677416006,1.17559515868613,0.239756691080759,0.629148763828943
"ABLIM3",598.104208862346,-0.588488784629149,0.344594834299475,-1.70777018705311,0.087678992959946,0.412696269160147
"ABR",1243.62087166597,0.285364298722522,0.295767393370938,0.964826769679208,0.334631585325721,0.711913866241592
"ABRACL",375.956812897481,0.0359666241811873,0.178426772422756,0.201576387292203,0.840247906492855,0.95751783221501
"ABT1",266.381561914962,-0.0760829381879948,0.15957792469468,-0.476776084997746,0.633521577007883,0.881668253506753
"ABTB1",490.717962326704,-0.16807750624732,0.171300380523102,-0.981185831193483,0.326501109996388,0.70629229153908
"ABTB2",658.058187825737,-0.733581062530958,0.201465431713063,-3.64122547621848,0.000271343360766602,0.0130244813167969
"ACAA1",21710.1672712097,-0.385135593951633,0.312041734687023,-1.23424385631596,0.217112049739517,0.606951604947917
"ACAA2",11629.4187689474,-0.407336667411579,0.267470536438741,-1.52292163778148,0.127778311624121,0.485317111728913
"ACACA",6707.74543986848,0.771828070979834,0.298915696737909,2.58209280878473,0.00982031720085557,0.127491837344441
"ACACB",1777.89617846195,0.40032560894934,0.339650870931995,1.17863854684328,0.238542135571554,0.628014101217069
"ACAD10",855.669075870351,0.257488637628023,0.20579711522821,1.25117709906911,0.210869871480624,0.598943396970586
"ACAD11",7591.42140539869,-0.286220376105665,0.211694660542006,-1.35204343545014,0.176361420642432,0.556392581840159
"ACAD8",1140.93531501444,0.0369803205537643,0.150618330496938,0.24552337309645,0.806051212798715,0.945664522348076
"ACADL",5514.9952849014,-0.556020910843441,0.238600818180333,-2.33033949792747,0.0197882147396035,0.188918120932584
"ACADM",9222.11721841636,-0.147132469948202,0.234978797973245,-0.626152109114773,0.531215175954699,0.831483502468534
"ACADS",3484.88883100878,-0.215088998365263,0.193022641805409,-1.11432004221608,0.265141911779936,0.654256654119837
"ACADSB",1359.99815156644,-0.260719694082872,0.193147752832163,-1.34984585769126,0.177065431732107,0.557963461242409
"ACADVL",9363.3037517379,-0.22085789906221,0.213774971867393,-1.03313263069547,0.301541834777814,0.687983526844589
"ACAP2",1003.93338879523,-0.188921707241438,0.168559923005166,-1.12079849037216,0.262373646903741,0.650440531687666
"ACAP3",158.14203230242,-0.281623046124964,0.220042109272231,-1.27985978254983,0.200594454090953,0.58769184150331
"ACAT1",8454.31641349626,0.414799794724555,0.265989170073746,1.55946121644558,0.118887257120636,0.471836519196737
"ACAT2",8047.56697287137,0.10429742007965,0.22391824453237,0.465783484045547,0.641370488186878,0.885366720751337
"ACBD3",1022.68460500466,-0.120116738294864,0.174986009207651,-0.686436240467226,0.492438057933727,0.810646695391809
"ACBD4",762.608979807825,-0.207580932358714,0.197470491839436,-1.05119975356875,0.293166856339848,0.679789546656374
"ACBD5",6074.56112689919,-0.412032099660381,0.173628192034472,-2.37307141675804,0.0176408526273145,0.175224092352071
"ACBD6",484.809546805456,0.210168832646261,0.16661037887078,1.26143901760924,0.20715071819649,0.59511432467966
"ACCS",148.259898815395,0.633889335908439,0.244562730775082,2.59192941581688,0.0095439350626486,0.125211623132114
"ACD",295.971673206531,0.0324834262580708,0.173844563152797,0.186853276679813,0.851775673705242,0.960112716743151
"ACE",189.790879400338,0.183723898869921,0.344821088616275,0.532809346456108,0.594165563267278,0.860997095596186
"ACER3",429.06802277619,-0.148169540141242,0.1865377970981,-0.794313766144239,0.427012791894668,0.772471357566415
"ACIN1",1947.31220424329,0.34297396717685,0.175423062048734,1.95512473201254,0.0505683497604837,0.313361441642076
"ACLY",6531.61703354379,0.782678858680366,0.248388443395265,3.15102767255107,0.00162697074709294,0.046158147713052
"ACMSD",421.795729857443,-0.0690943622416343,0.335844591459469,-0.205733139668479,0.836999370547366,0.957309944675504
"ACO1",5114.84974531997,-0.438604929721945,0.132884907047118,-3.30063766810196,0.000964653740189722,0.0312462269825012
"ACO2",7887.88173854944,-0.261215705482201,0.192090928629354,-1.359854457189,0.173875985414046,0.551632279555817
"ACOT1",678.391149752492,-0.589984087064945,0.344589825293715,-1.71213438052637,0.0868719067843848,0.410706187783452
"ACOT12",2461.95271755414,-0.282964033994507,0.225971921991633,-1.2522088209038,0.21049378263421,0.598943396970586
"ACOT13",1410.16647917504,0.0467092450980222,0.176450010874415,0.264716589511953,0.791227796692639,0.939064066859303
"ACOT2",643.152150156252,-0.339568042990273,0.342111488916338,-0.992565447205175,0.320921770337086,0.702886025505682
"ACOT4",401.41231902161,-0.80211708275426,0.328722020371465,-2.44010754694148,0.0146828899793896,0.159810050268342
"ACOT7",527.976906995921,-0.225669330527633,0.250504042947073,-0.900861031513622,0.367662212675428,0.737471578841565
"ACOT8",322.309055915967,-0.547158537253085,0.236410367048741,-2.31444392258939,0.0206433839373894,0.194806853734344
"ACOT9",955.280036589985,-0.152403800266455,0.268117756060337,-0.568421138927322,0.569749040006679,0.85089315682998
"ACOX1",31402.3393976209,0.0168502918531131,0.24009532932709,0.0701816728394472,0.944049061307977,0.988502223042253
"ACOX2",6505.18770696454,0.911351272544722,0.223482223853848,4.07795867084589,4.54328399786241e-05,0.00373558906490909
"ACOX3",1017.00521167991,0.481738717277768,0.241950361746278,1.99106425715099,0.0464738233491379,0.300792675904041
"ACP1",1473.68424813822,0.102812201142568,0.176777333721705,0.581591536528218,0.56084184506547,0.848191251193561
"ACP2",1771.49188214909,-0.00549989414986512,0.191505272047379,-0.0287192832399122,0.977088476908965,0.995783764228262
"ACP5",2873.3971181721,0.160086006628822,0.176188786488952,0.908604967540654,0.363558683480526,0.73318869516026
"ACP6",678.963278753688,0.085451315245909,0.193885764465337,0.440730218030969,0.659408317480185,0.893377544699047
"ACRBP",55.1745122710218,0.0675516300545487,0.296494546230961,0.227834308972172,0.819775053337374,0.950862754889888
"ACSF2",4240.34319507152,-0.475207600937088,0.203062865773019,-2.34019942114019,0.0192734455510423,0.185627111164052
"ACSF3",822.625230968195,0.196641136429607,0.220517863702298,0.891724294477454,0.372540728395757,0.740412190723885
"ACSL1",12391.5555235941,-1.08667124151562,0.260395000218491,-4.17316477122764,3.00397528727285e-05,0.00277867714072738
"ACSL3",1194.78808814507,-0.133132566249192,0.271427409966055,-0.490490500815085,0.623786850043926,0.876397206725958
"ACSL4",6844.73618937587,-0.792226728421766,0.289656822840922,-2.73505288310385,0.00623702549612278,0.0975441330338463
"ACSL5",10022.9234258989,0.322473899632144,0.199829617935278,1.61374426355851,0.106582908606904,0.452592863206825
