strain,sample,Corr_sum,condition
TAK1,AT136_T1_S23,-247.851485792,Low
TAK1,AT66_T1_S19,-208.0406306,Low
TAK1,AT66_T2_S20,22.6505006771,High
TAK1,AT81_S22,57.3993095675,High
TAK1,AT136_T3_S25,84.9324095493,High
TAK1,AT66_T3_S21,120.545871662,High
TAK1,AT388_S26,311.221144579,High
TAK1,AT136_T2_S24,-62.9964222841,Low
TAK1,AT863_S27,85.1815305495,High
STAM,J757_T6_S5,342.980980616,High
STAM,J758_T4_S8,259.423104991,High
STAM,J756T4_S4,46.5391202332,High
STAM,J756T8_S5,99.1647755097,High
STAM,J756T3_S3,69.4526410286,High
STAM,J757_T1_S3,85.6382637516,High
STAM,J757_T3_S4,114.813792202,High
STAM,J758T3_S7,150.043125022,High
STAM,J759T2_S8,16.0966127287,High
STAM,J756T1_S2,54.7154227834,High
STAM,J750T2_S1,-43.2025008096,Low
STAM,J757_T7_S6,-34.1255177697,Low
STAM,J759T4_S9,-52.7014002779,Low
STAM,J757T3_S6,78.6434619217,High
STAM,J759_T1_S9,-49.9364911394,Low
STAM,J758_T1_S7,-83.9566173173,Low
STAM,J759T5_S10,-92.7535144392,Low
STAM,J750_T1_S1,-152.401013481,Low
STAM,J755_T1_S2,-309.911384662,Low
MUP,HFD10_S35,-193.730445576,Low
MUP,J406_T4_S32,-173.000812008,Low
MUP,HFD1_T2_S34,-51.4627630971,Low
MUP,HFD13_S36,-90.8239246193,Low
MUP,J341_T1_S28,-67.3166860937,Low
MUP,J406_T2_S30,-132.079025048,Low
MUP,J341_T2_S29,-99.3842595111,Low
MUP,HFD1_T1_S33,103.400350868,High
MUP,J406_T3_S31,20.872859088,High
DEN,T82_S17,-263.41581622,Low
DEN,T71_S17,-134.826111982,Low
DEN,T93_S20,-125.397707266,Low
DEN,T30_S14,-33.8777292588,Low
DEN,T34_S10,-75.0238032536,Low
DEN,T42_S12,-66.4621199248,Low
DEN,T61_S14,-106.327964521,Low
DEN,T86_S18,-86.4535914472,Low
DEN,T62_S15,18.351387677,High
DEN,T20_S13,68.5508920059,High
DEN,T32_S15,67.8562084141,High
DEN,T38_S11,-45.2441904459,Low
DEN,T79_S16,60.5349033623,High
DEN,T7_S11,172.775216798,High
DEN,T89_S18,108.35645364,High
DEN,T19_S12,120.124593271,High
DEN,T58_S13,73.0213395503,High
DEN,T67_S16,143.719519777,High
DEN,T92_S19,125.69813702,High
