"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",2766.12612789546,-0.17106919812574,0.142184722966267,-1.20314752919219,0.228919235546319,0.30361170151462
"aaas",1573.79588115687,0.115935949247011,0.0652852164759754,1.77583770882761,0.0757596704194311,0.118767721520195
"aacs",805.305277107255,0.606714077053144,0.12071049767208,5.02619149745643,5.00316302421199e-07,2.83125243997875e-06
"aadac",13298.3835081667,-1.20231804422055,0.189871054980646,-6.33228716374439,2.4155337085149e-10,2.72482426801786e-09
"aadat",378.474806678909,-0.712120460116114,0.216174651945424,-3.29419038591026,0.000987056184403097,0.00259322709198694
"aagab",1310.11740389564,0.100700073978837,0.057147051108435,1.76212196474952,0.0780486929448281,0.121837681389986
"aak1",1131.37808467168,0.193541318599212,0.0932248538472171,2.07606996001731,0.0378874810208644,0.0652340880569214
"aamp",4729.29557355891,-0.0399474997268198,0.0614203822692216,-0.650394840457349,0.515437209235342,0.599025418419051
"aars",7941.37485187601,-0.127780770090297,0.0838039698470344,-1.52475795983809,0.127319479254854,0.18490812654724
"aars2",1106.84900187342,0.0532131452176666,0.0812987700621524,0.65453813356568,0.512765167468973,0.596651841748588
"aarsd1",1524.07994311518,-0.187283405173808,0.115638380222868,-1.61956095210656,0.105326623275824,0.157999198468993
"aasdhppt",1321.34490898611,-0.0879223483179479,0.0755889253317311,-1.16316441769863,0.244762800173567,0.321079396997413
"aass",2267.99885392852,-1.16394762050295,0.211004564264988,-5.51622010906464,3.46368409885777e-08,2.43113563745342e-07
"aatf",2623.13193648036,0.166645046442411,0.084340729131286,1.97585494172109,0.0481712086915989,0.0804394101668211
"abat",13057.1629107872,-1.19271964545159,0.171850232057842,-6.94045990610091,3.90825490147383e-12,6.36061026713145e-11
"abca1",3070.72408696398,0.117738810380442,0.124203326149219,0.947952152577537,0.343153813083238,0.428026286086566
"abca2",3493.58627214076,-0.0100726408672668,0.138774279964567,-0.0725829085176204,0.942138027868769,0.957649920708127
"abca3",515.965513379064,0.466230122039874,0.218275601816074,2.13596993049518,0.0326818648390525,0.0572419271611089
"abca5",1746.49025035399,-0.404330883926076,0.1327431228785,-3.0459648316106,0.00231934961953767,0.00553115591594442
"abca6",3496.90994875494,-1.13752915934158,0.201958328167629,-5.63249443418549,1.77621579693614e-08,1.32293173067872e-07
"abca8",1067.86641097769,-1.17396263953192,0.246724500895928,-4.7581923776071,1.95334292672166e-06,9.59382385575969e-06
"abcb1",3161.7434927006,-0.527544110209645,0.209113808461318,-2.52276075927922,0.0116437587158282,0.0230176111100099
"abcb10",1363.0996249585,-0.0258042990427078,0.0952990808762259,-0.270771751473892,0.786566587565343,0.836910774642201
"abcb11",1654.75956343332,-0.993230687516599,0.283821954708783,-3.49948505053356,0.000466157743435928,0.00132557293631931
"abcb4",6808.55833603999,-1.70222218083879,0.204392877494043,-8.32818736987739,8.20895192262862e-17,2.73460710922566e-15
"abcb6",3115.10758672826,-0.499491963482198,0.139722059586727,-3.57489694153956,0.000350365879336754,0.00102677670755458
"abcb7",882.619444242261,-0.135526977690799,0.0753968948086226,-1.79751404928284,0.0722540497714924,0.114205558197606
"abcb8",2399.70295506748,-0.583254454647894,0.0926317010882805,-6.29648865124518,3.04463559858251e-10,3.36329694102483e-09
"abcc1",802.325461245738,1.04047689273528,0.188090010262934,5.53180305153252,3.16955672744947e-08,2.2468811115286e-07
"abcc10",623.330512407592,0.539211916973536,0.0943875877614957,5.71274178905863,1.11170296950191e-08,8.66599901637323e-08
"abcc2",5941.52464679466,-0.651577275531197,0.185904404870107,-3.50490498590638,0.000456770265810221,0.00130061329777281
"abcc3",8335.44343432389,-0.0882711859561791,0.145282008836059,-0.607585114381144,0.543462675960827,0.625594148954177
"abcc4",599.672794624473,0.342694165059507,0.221374143225129,1.5480315815881,0.121614693027886,0.178323607658495
"abcc5",759.968613188262,0.531473323769032,0.0934229405418025,5.68889526155755,1.2786385987904e-08,9.86808142125295e-08
"abcc6",6723.57852196117,-0.784373617057491,0.141010382276296,-5.56252386806942,2.65900649531165e-08,1.90554683966536e-07
"abcc9",1290.07711350486,-0.900405543817623,0.212058903084776,-4.24601622813102,2.17604876885814e-05,8.4428316200283e-05
"abcd1",1647.43953109719,0.0674242582519988,0.124497253055781,0.54157225639179,0.588113208422886,0.666388727947656
"abcd3",4765.14931425279,-0.186784781847587,0.0959042925051358,-1.94761649315733,0.0514608687761365,0.0849348343183456
"abcd4",1440.90743168067,-0.276493794228,0.0844408627103085,-3.27440750074485,0.00105883798066053,0.0027605534390318
"abce1",1895.84429307518,0.113408101495385,0.0770769270172831,1.47136251903187,0.141193104033466,0.201589618482739
"abcf1",4219.22754479068,0.158950569941179,0.0718252818461979,2.21301700258616,0.026896473462248,0.048238301931872
"abcf2",1813.10675139782,0.131673678391228,0.0758695062942341,1.73552834099877,0.0826472660938684,0.127985452196933
"abcg1",848.889949440769,0.0557346754241767,0.181341901886026,0.307345819386003,0.758580163408914,0.813732280949839
"abcg2",1326.73753997122,-1.6881356949107,0.200594656939989,-8.41565633234053,3.90701169021145e-17,1.3599590079234e-15
"abcg5",1972.17699817295,-0.302673019534278,0.211548299296802,-1.43075137233615,0.152501484207785,0.215391297999998
"abcg8",2753.35972120376,-0.377168555845727,0.228488324261691,-1.6507126001491,0.0987972737296025,0.149254765343853
"abhd10",1478.22055340773,-0.340040430033954,0.0693063651724442,-4.90633766736843,9.27927201390495e-07,4.93351818794148e-06
"abhd11",832.167796796182,-0.140874275820393,0.14274794589732,-0.986874276437752,0.323704276177245,0.40713166149589
"abhd12",3482.12753952719,-0.0227748357046867,0.0976879181945892,-0.233138714854384,0.815653692970744,0.860665020249258
"abhd13",700.140086794872,0.0655954262755674,0.091182249285244,0.719388113253998,0.47190181874726,0.55855360309183
"abhd14a",930.942811001484,-0.326070414640774,0.103768710660993,-3.14228067944325,0.00167637250693412,0.00415826199509429
"abhd14b",7465.84118163485,-1.08525897335444,0.109384556569952,-9.92150087165559,3.35670176964429e-23,2.20199636088666e-21
"abhd15",1026.06511585946,-0.42623186273886,0.155076759656859,-2.74852185254573,0.00598646442586337,0.0128305022929788
"abhd2",12903.0877757922,-0.522343816674083,0.131323491469378,-3.97753525153481,6.96333021492937e-05,0.0002387747489864
"abhd3",1781.23430161639,0.740442529027925,0.102957233175063,7.19174851725974,6.39667718313019e-13,1.20156085942146e-11
"abhd4",1966.71836998888,-0.280811620245923,0.107031666906243,-2.62363119591427,0.00869979319454599,0.0178818598127472
"abhd5",972.617173830074,-0.117174922773521,0.0934475740204243,-1.25391080508854,0.2098744272182,0.282062514496975
"abhd6",1562.38315242572,-0.773236683394372,0.124368907736459,-6.2172829002638,5.05837302290982e-10,5.31253757874076e-09
"abhd8",1082.38092879129,-0.0898122289004531,0.0967755437141129,-0.928046750796562,0.353383319385554,0.438774445617906
"abi1",1815.85151293085,0.0890168770096746,0.0703793398494591,1.26481545862864,0.20593748856316,0.277885269377631
"abi2",904.764729247399,0.723045788181783,0.0917661264597541,7.87922315211692,3.29422715144032e-15,8.72458669176492e-14
"abi3",365.751448191643,0.230292599252793,0.137949161624279,1.66940194881374,0.0950377476970367,0.14452245227538
"abl1",1967.6160517854,0.388742841845776,0.0812843844387122,4.78250336187124,1.73125490962271e-06,8.60381227812499e-06
"abl2",1023.21083935849,0.282433688213705,0.0977505018451757,2.88933236026802,0.0038606079226499,0.00869146366535331
"ablim1",3203.19003098384,-0.136223758641155,0.114337757312586,-1.1914153455777,0.233490571598691,0.308633040771916
"ablim3",2797.12634122192,-0.493010946315182,0.139300466123716,-3.53919093046917,0.000401355448332158,0.00115947129518179
"abr",708.467083151597,0.617419223120928,0.160738639740278,3.84113753929085,0.000122465468135158,0.000400147705845451
"abt1",1583.63931917144,0.143575145091695,0.0822662805072401,1.74524901583534,0.0809415324577676,0.125709231251109
"abtb1",1187.0757625842,-0.287947269806513,0.0971808278829148,-2.96300490620884,0.00304651713211341,0.00704274819806536
"abtb2",911.637292386289,-0.528855065938576,0.12244427209963,-4.31914908611047,1.56631948263376e-05,6.30371521845242e-05
"acaa1",12734.1080303061,-1.06211952397936,0.134260991435915,-7.91085714934805,2.5562271551481e-15,6.94251757296273e-14
"acaa2",16227.6692855423,-0.922561665629064,0.146055490123568,-6.31651480439761,2.6752783141217e-10,2.98264342416051e-09
"acaca",2497.33966695924,0.253006278063975,0.110423065388503,2.29124483343964,0.0219492572753971,0.040168082842186
"acacb",3834.89145870264,-0.467420295150266,0.149624467114991,-3.12395628978942,0.00178436961965194,0.00440309725590039
"acad10",2141.84854893567,-0.559453797923533,0.0959115198857847,-5.83301983525809,5.44330943092609e-09,4.5599747374202e-08
"acad11",3037.89091487491,-0.984912939870215,0.144422537823055,-6.81966232359745,9.12547511342186e-12,1.37252295885823e-10
"acad8",1163.37472875846,-0.545623893277271,0.0779663601842058,-6.9981962988674,2.59278658742992e-12,4.40463825051839e-11
"acadl",465.198873652128,-1.35663444571017,0.254231923852713,-5.3362080778499,9.49104796899744e-08,6.11824836354385e-07
"acadm",5299.24204063928,-0.856527256404835,0.137968974400237,-6.20811497750298,5.36239133205004e-10,5.6179942604082e-09
"acads",4531.069312641,-0.84048687181775,0.143600025627329,-5.85297160042982,4.82866604771118e-09,4.0976800029352e-08
"acadsb",10461.0964399399,-0.606869488360654,0.161715575333066,-3.75269659159768,0.000174942542016448,0.000549101950061195
"acadvl",21870.9202151273,-0.692427538633222,0.120567189419823,-5.7430843496081,9.29673868284407e-09,7.36827021257382e-08
"acap2",1104.5053222033,0.166706424566447,0.0851419560725127,1.95798208376219,0.0502321150350507,0.083281198621611
"acap3",1302.08854162594,-0.0542277188716751,0.103212856128842,-0.525396940900286,0.599307279667054,0.675865178656525
"acat1",14107.1997300527,-0.980298801675891,0.12133930530138,-8.07898808420771,6.53064073492879e-16,1.90730493792715e-14
"acat2",3950.95110483974,-0.23218153947084,0.143588792908503,-1.61698928424582,0.105880594007716,0.1586906336903
"acbd3",2165.25481976759,0.161264979439549,0.0854358259701477,1.8875568604662,0.0590854661189771,0.0960138824433377
"acbd4",2599.26032296268,-1.05360419753142,0.13820388403322,-7.62354983654556,2.46792955517311e-14,5.75041072309187e-13
"acbd5",2929.27517911005,-0.452065890792695,0.103360464783214,-4.37368283647763,1.22167834248472e-05,5.05751111879113e-05
"acbd6",962.082031612139,0.312421052676248,0.0944437617263542,3.30801152945889,0.000939609412348617,0.00247773316898856
"accs",463.569014333203,-0.512573903895726,0.125334230967251,-4.08965611341772,4.32013218438898e-05,0.000156044418756752
"acd",575.980137207685,0.246445858646686,0.099946692718686,2.46577302302881,0.0136717938079764,0.026534605733824
"ace",385.97539459495,0.13356288140201,0.154637577588242,0.863715556626548,0.387744165621143,0.474756962586806
"acer3",293.429918395983,0.357253046251439,0.0890598081465536,4.01138351503696,6.03639587241107e-05,0.000209431993490324
"acin1",3448.09462173814,0.343634128109685,0.0532122045701726,6.45780664201808,1.06231348888483e-10,1.2905141642749e-09
"acly",4817.74894633121,0.430040363998221,0.0936030043804433,4.59430086506999,4.34202539368404e-06,1.98333114929499e-05
"acmsd",3049.1027641462,-0.866609738799345,0.201951460272931,-4.29117837339798,1.77727477703039e-05,7.05614492482083e-05
"aco1",7472.70282830782,-0.312276039030128,0.125705868745545,-2.48418027055077,0.0129850055323822,0.0252995492757951
"aco2",7938.87394660419,-0.348079578992762,0.109355844099427,-3.18299933450548,0.00145757949275118,0.00368740371230557
"acot1",3159.92112118306,-0.871107351002315,0.134115328327338,-6.49521096407551,8.29171352025591e-11,1.03454359681291e-09
"acot12",1492.32118166881,-1.1330191395915,0.2388155548869,-4.74432722830003,2.09200441147613e-06,1.02063006985518e-05
