"","J750_T1_S1","J750T2_S1","J755_T1_S2","J756T1_S2","J756T3_S3","J756T4_S4","J756T8_S5","J757_T1_S3","J757_T3_S4","J757_T6_S5","J757_T7_S6","J757T3_S6","J758_T1_S7","J758_T4_S8","J758T3_S7","J759_T1_S9","J759T2_S8","J759T4_S9","J759T5_S10"
"A1CF",2514,4121,1986,7724,5016,3049,3763,3803,1751,1624,1783,4680,2080,2403,4511,2727,3097,3120,3629
"AAAS",473,623,444,1160,876,764,627,540,354,184,439,727,527,435,457,399,690,482,427
"AACS",2285,3314,2655,851,1843,2368,765,832,2193,1000,2174,3741,650,2361,1084,450,3099,3295,1873
"AADAC",4659,7108,3696,9893,5108,4617,10525,4107,4082,4905,4366,6883,6148,4135,7630,4231,3862,4167,9272
"AADAT",428,1583,706,1126,448,911,2331,603,658,585,805,1360,718,712,1211,2199,1518,861,1484
"AAED1",722,604,492,939,1267,778,1524,668,338,546,458,998,700,376,868,513,1279,875,1141
"AAGAB",896,1163,794,850,979,1059,978,499,805,422,647,1682,651,812,961,669,1183,877,1133
"AAK1",108,586,234,273,516,403,331,150,208,85,165,217,90,176,268,189,583,539,240
"AAMDC",224,368,150,438,253,242,279,305,204,239,127,407,139,236,233,211,283,250,350
"AAMP",3322,6488,2655,4484,6337,3907,4412,3092,2270,2756,1959,4291,3069,2583,4270,2954,4158,3473,4061
"AAR2",576,716,455,920,750,812,785,504,491,435,354,844,416,522,805,499,752,668,661
"AARS",10698,9861,8544,13968,5880,7572,13676,3882,6676,4346,4831,10619,8499,5043,5422,5536,6301,6791,17340
"AARS2",248,547,503,575,857,448,687,164,312,282,296,689,373,469,533,427,465,417,471
"AARSD1",577,838,328,619,714,524,626,407,419,357,351,733,468,511,535,482,603,430,411
"AASDHPPT",1009,1171,1379,1417,933,1052,1109,654,592,438,586,1321,998,445,738,671,503,911,955
"AASS",587,4610,2085,2731,2707,2376,4212,3445,738,1746,2390,1732,1764,1258,5174,2407,3132,3142,3348
"AATF",375,623,267,1067,624,747,811,271,389,364,327,726,291,219,474,293,634,605,445
"ABAT",830,8684,3111,5048,11907,2776,10517,4314,1689,1389,5030,481,6700,1879,4322,6298,8434,3578,5643
"ABCA1",2990,7516,2276,5453,8882,7785,3971,3845,3525,2805,4388,6492,3940,2422,6287,3594,5010,7277,6357
"ABCA2",791,2190,602,1141,1815,1012,2536,591,899,969,462,1767,921,693,1172,598,2889,1502,2091
"ABCA3",1415,1119,1864,3552,3071,1689,2194,2424,2005,1324,959,2872,1981,2336,2914,577,2291,3070,1304
"ABCA5",1298,1358,930,973,529,864,1081,708,740,657,529,1283,143,644,880,721,1688,2332,660
"ABCA6",2431,4124,3382,1858,3337,2123,1694,1794,1297,2150,1019,9612,2560,1818,6692,2413,6681,3109,6398
"ABCA8",4156,5614,1192,11380,6076,4948,8877,3201,2536,3224,4973,10039,5113,2964,8445,4150,7168,4840,4508
"ABCB1",583,1103,422,117,2164,744,489,611,508,877,304,1698,1942,405,592,676,642,921,3332
"ABCB10",584,1075,638,872,651,640,593,357,334,512,363,1217,587,445,758,540,728,542,720
"ABCB11",5299,6217,5367,10254,8303,3947,10471,4064,3524,4279,5154,19433,9538,3425,9479,9607,10357,6588,20429
"ABCB4",15092,7443,9791,13419,10712,7544,15071,7807,5771,5160,3658,23514,9727,5713,8313,10630,11883,9105,19722
"ABCB6",1665,4040,2604,2430,2648,1351,1921,2184,980,981,1133,3106,2834,1436,1619,1690,1664,2096,2867
"ABCB7",2041,1871,1715,1397,1624,1730,1691,1063,1006,720,1113,1990,1402,628,1597,1173,1190,1642,1912
"ABCB8",652,1748,1142,1367,1177,1179,1678,886,790,634,690,1358,405,997,1251,583,1408,1249,977
"ABCC1",109,1914,262,362,1791,1302,146,1237,288,194,469,135,211,585,701,84,2388,260,185
"ABCC10",113,208,103,191,348,285,367,119,102,177,118,313,130,197,274,92,391,175,325
"ABCC2",30580,45969,14462,30115,22404,17603,17215,26680,13199,7461,10732,31159,22661,12236,26542,18989,40325,19433,37083
"ABCC3",5375,16642,3671,3908,16427,8962,12113,13938,7721,8721,10529,6132,6876,11291,15448,11589,20753,14302,13314
"ABCC4",8055,12137,5617,1553,17171,4105,989,8489,3395,430,4105,1063,4471,4225,1764,4800,13324,3112,3266
"ABCC5",428,1443,1207,1316,3576,2040,1583,1494,743,536,1095,1484,1731,942,2319,916,2234,2085,773
"ABCC6",1897,4397,1498,2519,2037,1787,2817,1057,1180,1576,1281,5497,1890,1641,3603,1302,3449,2487,4158
"ABCC9",441,376,64,825,1563,1714,564,368,476,1327,276,1006,420,234,1638,266,1469,867,710
"ABCD1",811,1112,292,401,1143,760,800,535,416,550,217,608,559,500,995,387,750,705,675
"ABCD3",7118,11295,9246,23026,7567,7810,28353,7459,2142,6001,4122,16532,6261,6187,10307,9183,5801,5835,14658
"ABCD4",94,139,124,273,192,270,235,270,143,99,99,395,74,165,261,166,391,194,217
"ABCE1",2151,4542,2275,5231,3925,3440,4129,2472,2009,1614,2372,3712,1975,1770,2395,2345,2297,2853,3078
"ABCF1",1654,3195,1676,3306,3693,3046,2980,1785,1722,1592,1383,2693,1188,1642,2362,1765,3076,2317,2322
"ABCF2",1085,2134,1487,2131,1781,1769,1908,1028,1312,950,1184,1809,837,1153,1328,1083,1746,1954,1635
"ABCG1",109,417,52,502,1031,1429,305,308,183,360,148,428,350,191,499,196,883,230,565
"ABCG2",1600,4011,2653,3068,2889,4035,4385,3358,6678,1519,6075,5191,5904,2033,3444,3376,6318,4251,7359
"ABCG5",1017,3080,399,3473,1883,1012,492,2381,564,961,426,2526,1266,911,2181,1996,2642,1712,1555
"ABCG8",1948,2632,252,2493,2351,1209,707,3222,541,930,387,3030,2529,986,2814,2002,3065,1866,2262
"ABHD10",121,296,146,301,517,239,362,209,131,119,209,261,149,159,276,206,227,178,200
